0 {'done': 1, 'prod_optimal': 1, 'prod_worse': 0, 'exact_timeout': 0}
1 {'done': 2, 'prod_optimal': 1, 'prod_worse': 0, 'exact_timeout': 1}
2 {'done': 3, 'prod_optimal': 2, 'prod_worse': 0, 'exact_timeout': 1}
3 {'done': 4, 'prod_optimal': 2, 'prod_worse': 0, 'exact_timeout': 2}
4 {'done': 5, 'prod_optimal': 3, 'prod_worse': 0, 'exact_timeout': 2}
5 {'done': 6, 'prod_optimal': 4, 'prod_worse': 0, 'exact_timeout': 2}
6 {'done': 7, 'prod_optimal': 5, 'prod_worse': 0, 'exact_timeout': 2}
7 {'done': 8, 'prod_optimal': 5, 'prod_worse': 0, 'exact_timeout': 3}
8 {'done': 9, 'prod_optimal': 5, 'prod_worse': 0, 'exact_timeout': 4}
9 {'done': 10, 'prod_optimal': 6, 'prod_worse': 0, 'exact_timeout': 4}
10 {'done': 11, 'prod_optimal': 6, 'prod_worse': 0, 'exact_timeout': 5}
11 {'done': 12, 'prod_optimal': 6, 'prod_worse': 0, 'exact_timeout': 6}
12 {'done': 13, 'prod_optimal': 7, 'prod_worse': 0, 'exact_timeout': 6}
13 {'done': 14, 'prod_optimal': 8, 'prod_worse': 0, 'exact_timeout': 6}
14 {'done': 15, 'prod_optimal': 8, 'prod_worse': 0, 'exact_timeout': 7}
15 {'done': 16, 'prod_optimal': 8, 'prod_worse': 0, 'exact_timeout': 8}
16 {'done': 17, 'prod_optimal': 9, 'prod_worse': 0, 'exact_timeout': 8}
17 {'done': 18, 'prod_optimal': 9, 'prod_worse': 0, 'exact_timeout': 9}
18 {'done': 19, 'prod_optimal': 9, 'prod_worse': 0, 'exact_timeout': 10}
19 {'done': 20, 'prod_optimal': 9, 'prod_worse': 0, 'exact_timeout': 11}
20 {'done': 21, 'prod_optimal': 9, 'prod_worse': 0, 'exact_timeout': 12}
21 {'done': 22, 'prod_optimal': 10, 'prod_worse': 0, 'exact_timeout': 12}
22 {'done': 23, 'prod_optimal': 10, 'prod_worse': 0, 'exact_timeout': 13}
23 {'done': 24, 'prod_optimal': 10, 'prod_worse': 0, 'exact_timeout': 14}
24 {'done': 25, 'prod_optimal': 10, 'prod_worse': 0, 'exact_timeout': 15}
25 {'done': 26, 'prod_optimal': 11, 'prod_worse': 0, 'exact_timeout': 15}
26 {'done': 27, 'prod_optimal': 12, 'prod_worse': 0, 'exact_timeout': 15}
27 {'done': 28, 'prod_optimal': 13, 'prod_worse': 0, 'exact_timeout': 15}
28 {'done': 29, 'prod_optimal': 14, 'prod_worse': 0, 'exact_timeout': 15}
29 {'done': 30, 'prod_optimal': 15, 'prod_worse': 0, 'exact_timeout': 15}
30 {'done': 31, 'prod_optimal': 16, 'prod_worse': 0, 'exact_timeout': 15}
31 {'done': 32, 'prod_optimal': 17, 'prod_worse': 0, 'exact_timeout': 15}
32 {'done': 33, 'prod_optimal': 17, 'prod_worse': 0, 'exact_timeout': 16}
33 {'done': 34, 'prod_optimal': 17, 'prod_worse': 0, 'exact_timeout': 17}
34 {'done': 35, 'prod_optimal': 18, 'prod_worse': 0, 'exact_timeout': 17}
35 {'done': 36, 'prod_optimal': 18, 'prod_worse': 0, 'exact_timeout': 18}
36 {'done': 37, 'prod_optimal': 18, 'prod_worse': 0, 'exact_timeout': 19}
37 {'done': 38, 'prod_optimal': 19, 'prod_worse': 0, 'exact_timeout': 19}
38 {'done': 39, 'prod_optimal': 20, 'prod_worse': 0, 'exact_timeout': 19}
39 {'done': 40, 'prod_optimal': 21, 'prod_worse': 0, 'exact_timeout': 19}
FINAL {'done': 40, 'prod_optimal': 21, 'prod_worse': 0, 'exact_timeout': 19}
